Edad,Sueldo,Ciudad,Prestamo
45,18000,Madrid,1
22,95000,Roma,0
50,22000,Paris,1
28,88000,Madrid,0
38,15000,Roma,1
25,75000,Paris,0
42,19000,Madrid,1
21,92000,Roma,0
55,25000,Paris,1
30,81000,Madrid,0
48,21000,Roma,1
24,79000,Paris,0
39,17000,Madrid,1
27,86000,Roma,0
41,20000,Paris,1
23,91000,Madrid,0
52,24000,Roma,1
29,83000,Paris,0
46,19000,Madrid,1
26,89000,Roma,0
37,16000,Paris,1
20,96000,Madrid,0
49,23000,Roma,1
31,80000,Paris,0
44,18500,Madrid,1
32,77000,Roma,0
53,24500,Paris,1
33,76000,Madrid,0
40,19500,Roma,1
34,74000,Paris,0
47,21500,Madrid,1
22,93000,Roma,0
51,23500,Paris,1
25,85000,Madrid,0
43,18800,Roma,1
