"reviewId","review","score","gender","location","date","sentimiento","review_limpio","topic_dominante","top_palabras","prob_topic_0","prob_topic_1","prob_topic_2","prob_topic_3","prob_topic_4","prob_topic_5","prob_topic_6","prob_topic_7","prob_topic_8","prob_topic_9"
3907,"The app is great. The only problem is that sometimes, when I listen to music, it makes the words (lyrics) really really glitchy. Other than that, it's fine.",4,"female","Wellington, New Zealand","2022-09-11","positivo","the app is great the only problem is that sometimes when i listen to music it makes the words lyrics really really glitchy other than that it s fine",0,"definitely stands | features see apps | content being uploaded | sharing easy | finding niche genres",0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3908,"SoundCloud is not working",4,"female","Gold Coast, Australia","2022-03-27","positivo","soundcloud is not working",0,"definitely stands | features see apps | content being uploaded | sharing easy | finding niche genres",0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3918,"good app, juss needs a update to run smoothes",4,"female","Perth, Australia","2022-09-14","positivo","good app juss needs a update to run smoothes",0,"definitely stands | features see apps | content being uploaded | sharing easy | finding niche genres",0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3923,"Good App , but why we can't delete our massage in SoundCloud App ?!!!!!!!!",4,"female","Perth, Australia","2022-08-08","positivo","good app but why we can t delete our massage in soundcloud app",0,"definitely stands | features see apps | content being uploaded | sharing easy | finding niche genres",0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3933,"this app is now my favorite app💗 I really love it 🤩",4,"female","Wellington, New Zealand","2022-07-21","positivo","this app is now my favorite app i really love it",0,"definitely stands | features see apps | content being uploaded | sharing easy | finding niche genres",0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3941,"It's an overall great app but explain why when I have full bars it says no internet and have to restart my phone in order to get it working? Alright now it won't even open and I'm getting not responding messages when the app is CLOSED. Triple explain why it won't let me log in if my device is on for a long period of time. And why it'll log me out at random too. HOW ABOUT YOU EXPLAIN THAT.",4,"female","Melbourne, Australia","2022-06-14","positivo","it s an overall great app but explain why when i have full bars it says no internet and have to restart my phone in order to get it working alright now it won t even open and i m getting not responding messages when the app is closed triple explain why it won t let me log in if my device is on for a long period of time and why it ll log me out at random too how about you explain that",0,"definitely stands | features see apps | content being uploaded | sharing easy | finding niche genres",0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3945,"I love it but wish soundcloud sould do vedios",4,"female","Port Moresby, Papua New Guinea","2022-09-12","positivo","i love it but wish soundcloud sould do vedios",0,"definitely stands | features see apps | content being uploaded | sharing easy | finding niche genres",0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3968,"This app is really good for finding songs and listening on or offline if you were to have the premium version. The one thing, though, is that you aren't able to record songs through internal audio from this app. I really beg for you guys to bring back the internal audio recording because I want to be able to listen to my favorite song while offline since I don't really have the premium version :( . This is the only app that has the song I like. Please bring it back in the next update.",4,"female","Sydney, Australia","2022-03-17","positivo","this app is really good for finding songs and listening on or offline if you were to have the premium version the one thing though is that you aren t able to record songs through internal audio from this app i really beg for you guys to bring back the internal audio recording because i want to be able to listen to my favorite song while offline since i don t really have the premium version this is the only app that has the song i like please bring it back in the next update",2,"better spotify | interact directly artists | juice wrld | electronic hip hop | especially electronic hip",0.0668,0.0669,0.8663,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3993,"It was the best online music app I'd ever downloaded .. however the problem is ...some of my favourite songs are not available in my country 😭.......i hate that and yeah... some songs cannot be found despite all that issues i still like this app 💌",4,"female","Hobart, Australia","2022-04-25","positivo","it was the best online music app i d ever downloaded however the problem is some of my favourite songs are not available in my country i hate that and yeah some songs cannot be found despite all that issues i still like this app",1,"better then spotify | songs available | while listening | unlike spotify | available country",0.0667,0.8665,0.0668,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3996,"Very good for music",4,"female","Perth, Australia","2022-03-10","positivo","very good for music",0,"definitely stands | features see apps | content being uploaded | sharing easy | finding niche genres",0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4001,"Love SoundCloud. I have Created Great Tracks on BandLab then upload them to Sound Cloud. 💪😎. Super Crispy & Clear. Just enjoying the Experience.",4,"female","Canberra, Australia","2022-04-15","positivo","love soundcloud i have created great tracks on bandlab then upload them to sound cloud super crispy clear just enjoying the experience",0,"definitely stands | features see apps | content being uploaded | sharing easy | finding niche genres",0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4025,"tracks are easy to find",4,"female","Auckland, New Zealand","2022-05-07","positivo","tracks are easy to find",2,"better spotify | interact directly artists | juice wrld | electronic hip hop | especially electronic hip",0.1671,0.1675,0.6654,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4030,"It's a really great app but it glitches a lot when I exit the app",4,"female","Córdoba, Argentina","2022-02-10","positivo","it s a really great app but it glitches a lot when i exit the app",0,"definitely stands | features see apps | content being uploaded | sharing easy | finding niche genres",0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4041,"Please add the ability to sort tracks, it is very much lacking",4,"female","Brisbane, Australia","2022-03-02","positivo","please add the ability to sort tracks it is very much lacking",0,"definitely stands | features see apps | content being uploaded | sharing easy | finding niche genres",0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4051,"A loop button would be nice",4,"female","Hobart, Australia","2022-04-26","positivo","a loop button would be nice",0,"definitely stands | features see apps | content being uploaded | sharing easy | finding niche genres",0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4052,"I can't stop autoplay!",4,"female","Christchurch, New Zealand","2022-03-20","positivo","i can t stop autoplay",0,"definitely stands | features see apps | content being uploaded | sharing easy | finding niche genres",0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4067,"Hello again, Im kinda missing some parts here. Why does my playlist suddenly went missing? Like all of the songs I have saved just suddenly went Missing Even the artist i followed have their somg removed and I am very confused. What happened?",4,"female","Gold Coast, Australia","2022-09-18","positivo","hello again im kinda missing some parts here why does my playlist suddenly went missing like all of the songs i have saved just suddenly went missing even the artist i followed have their somg removed and i am very confused what happened",1,"better then spotify | songs available | while listening | unlike spotify | available country",0.167,0.6658,0.1672,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4072,"Its got some good music, But holy heck, no matter what you search for, guaranteed there is a mountain of reeeeeaaaaaaallllyyy bad auto tune rap. Soooo much of it. Seriously... would like a filter function.",4,"female","Melbourne, Australia","2022-04-03","positivo","its got some good music but holy heck no matter what you search for guaranteed there is a mountain of reeeeeaaaaaaallllyyy bad auto tune rap soooo much of it seriously would like a filter function",0,"definitely stands | features see apps | content being uploaded | sharing easy | finding niche genres",0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4084,"good app have problems finding older artists",4,"female","Nadi, Fiji","2022-02-24","positivo","good app have problems finding older artists",0,"definitely stands | features see apps | content being uploaded | sharing easy | finding niche genres",0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4092,"This is a nice replacement for people who aren't happy with Spotify, etc. It allows you to play songs on repeat, and it doesn't give you as many ads as Spotify does. However, the only problem is, is that not all songs are on Soundcloud, and some aren't even available in your country sometimes. But overall, I think it's a great app to use if you're looking for a music app that you can use to jam to some of your favourite beats!",4,"female","Suva, Fiji","2022-05-08","positivo","this is a nice replacement for people who aren t happy with spotify etc it allows you to play songs on repeat and it doesn t give you as many ads as spotify does however the only problem is is that not all songs are on soundcloud and some aren t even available in your country sometimes but overall i think it s a great app to use if you re looking for a music app that you can use to jam to some of your favourite beats",1,"better then spotify | songs available | while listening | unlike spotify | available country",0.0417,0.9165,0.0418,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4153,"love SoundCloud, hate that some songs are behind paywalls and that, with some stuff, you can only use if subscribed (customization and whatnot), but besides that, pretty good! :P",4,"female","Perth, Australia","2022-08-22","positivo","love soundcloud hate that some songs are behind paywalls and that with some stuff you can only use if subscribed customization and whatnot but besides that pretty good p",1,"better then spotify | songs available | while listening | unlike spotify | available country",0.167,0.6658,0.1672,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4166,"Amazing app but I find it kind of annoying that whenever I accidentally pause an ad from my earbuds the ad restarts.",4,"female","Sydney, Australia","2022-09-08","positivo","amazing app but i find it kind of annoying that whenever i accidentally pause an ad from my earbuds the ad restarts",0,"definitely stands | features see apps | content being uploaded | sharing easy | finding niche genres",0.6643,0.168,0.1677,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4178,"Amazing music app! I use this to listen to music offline all the time! The only thing I dislike about this app is the ""GO+"" lock on some of my favorite songs. I know it's for premium, but maybe take it off. : \\",4,"female","Perth, Australia","2022-06-25","positivo","amazing music app i use this to listen to music offline all the time the only thing i dislike about this app is the go lock on some of my favorite songs i know it s for premium but maybe take it off",1,"better then spotify | songs available | while listening | unlike spotify | available country",0.4441,0.4443,0.1117,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4193,"można słuchać z wyłączonym telefonem ale są reklamy ale rzadko",4,"female","Port Moresby, Papua New Guinea","2022-03-23","positivo","można słuchać z wyłączonym telefonem ale są reklamy ale rzadko",0,"definitely stands | features see apps | content being uploaded | sharing easy | finding niche genres",0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4213,"I like this app a lot, but today I noticed that in my liked tracks, it now has a bar of genres that say 7 days free trial beside it. I liked this app a lot more when Premium wasn't being shoved down my throat. Other than that, it's a good app, and I hope it doesn't continue like Spotify did.",4,"female","Auckland, New Zealand","2022-03-24","positivo","i like this app a lot but today i noticed that in my liked tracks it now has a bar of genres that say days free trial beside it i liked this app a lot more when premium wasn t being shoved down my throat other than that it s a good app and i hope it doesn t continue like spotify did",0,"definitely stands | features see apps | content being uploaded | sharing easy | finding niche genres",0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4262,"so many updates having to try and listen and you have to update the darn app every time you open it is very tedious and annoying. just make one big update every few months not an update every 2 days",4,"female","Adelaide, Australia","2022-07-27","positivo","so many updates having to try and listen and you have to update the darn app every time you open it is very tedious and annoying just make one big update every few months not an update every days",0,"definitely stands | features see apps | content being uploaded | sharing easy | finding niche genres",0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4273,"I love this app... just too many ads.",4,"female","Sydney, Australia","2022-09-02","positivo","i love this app just too many ads",0,"definitely stands | features see apps | content being uploaded | sharing easy | finding niche genres",0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4318,"great app to many adds tho and almost any song is on it",4,"female","Queenstown, New Zealand","2022-03-28","positivo","great app to many adds tho and almost any song is on it",1,"better then spotify | songs available | while listening | unlike spotify | available country",0.1669,0.666,0.1671,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4322,"It give you a lot of music to choose from and the subscription is not high",4,"female","Melbourne, Australia","2022-06-30","positivo","it give you a lot of music to choose from and the subscription is not high",0,"definitely stands | features see apps | content being uploaded | sharing easy | finding niche genres",0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4325,"I liked when we could search our liked songs in a specific category! Literally the best update, and then it went away..... needles to say it's taken a lot of ease of use out of the app. And sometimes songs won't play randomly? Other than that I enjoy it for finding smaller artists.",4,"female","Sydney, Australia","2022-06-18","positivo","i liked when we could search our liked songs in a specific category literally the best update and then it went away needles to say it s taken a lot of ease of use out of the app and sometimes songs won t play randomly other than that i enjoy it for finding smaller artists",2,"better spotify | interact directly artists | juice wrld | electronic hip hop | especially electronic hip",0.1671,0.1675,0.6654,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4329,"data base needs to include many more songs, YouTube has a lot that SoundCloud doesn't have.",4,"female","Christchurch, New Zealand","2022-03-07","positivo","data base needs to include many more songs youtube has a lot that soundcloud doesn t have",0,"definitely stands | features see apps | content being uploaded | sharing easy | finding niche genres",0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4330,"These songs have stood the test of time, so the older I get the more I appreciate Foreigner and especially this, their fourth album, aptly titled 4, was a significant release in their career, featuring hit singles like ""Urgent,"" ""Waiting for a Girl Like You,"" and ""Juke Box Hero."" The reason I didn't give it four stars is my old neighbor's fault for playing it nonstop for at least the first two weeks after its release in 1981. Too much of a good thing is well, you know. 4 stars for 4. Peace ✌️",4,"female","Perth, Australia","2022-04-24","positivo","these songs have stood the test of time so the older i get the more i appreciate foreigner and especially this their fourth album aptly titled was a significant release in their career featuring hit singles like urgent waiting for a girl like you and juke box hero the reason i didn t give it four stars is my old neighbor s fault for playing it nonstop for at least the first two weeks after its release in too much of a good thing is well you know stars for peace",2,"better spotify | interact directly artists | juice wrld | electronic hip hop | especially electronic hip",0.1669,0.1672,0.6659,0.0,0.0,0.0,0.0,0.0,0.0,0.0
