Edad,Dispositivo,Meses,Gasto,Genero,Comentario,Baja
22,Movil,3,10,Accion,la aplicacion se cierra sola fatal,1
45,TV,24,15,Drama,me encantan las series clasicas muy buena,0
30,PC,12,12,Comedia,interfaz rapida y mucho contenido nuevo,0
19,Movil,1,10,Terror,demasiado caro para lo que ofrece,1
55,TV,36,15,Drama,excelente seleccion de documentales antiguos,0
28,PC,6,12,Accion,no hay suficientes peliculas de Marvel,1
35,TV,18,15,Comedia,la mejor plataforma para ver en familia,0
24,Movil,2,10,Terror,se corta el video a mitad siempre,1
40,TV,20,15,Drama,servicio al cliente muy atento y rapido,0
32,PC,8,12,Accion,poca variedad en mi idioma muy mal,1
21,Movil,4,10,Comedia,muchos anuncios molestos en el plan basico,1
48,TV,30,15,Terror,calidad 4k increible merece la pena,0
26,PC,10,12,Drama,buscaba mas contenido coreano falta variedad,0
38,TV,15,15,Accion,buena relacion calidad precio muy contento,0
42,PC,22,12,Comedia,series originales de mucha calidad top,0
18,Movil,1,10,Terror,no funciona en mi tablet vieja,1
50,TV,40,15,Accion,usuario desde el primer dia el mejor,0
33,PC,5,12,Drama,muchos fallos de subtitulos mal traducidos,1
27,Movil,7,10,Comedia,me gusta pero el catalogo es corto,0
44,TV,25,15,Terror,pelis de miedo geniales para el finde,0
