"reviewId";"review";"score";"gender";"location";"date";"sentimiento";"review_limpio";"cluster_id";"top_palabras"
3907;"The app is great. The only problem is that sometimes, when I listen to music, it makes the words (lyrics) really really glitchy. Other than that, it's fine.";4;"female";"Wellington, New Zealand";"2022-09-11";"positivo";"the app is great the only problem is that sometimes when i listen to music it makes the words lyrics really really glitchy other than that it s fine";4;"app | music | better | awesome | spotify"
3908;"SoundCloud is not working";4;"female";"Gold Coast, Australia";"2022-03-27";"positivo";"soundcloud is not working";4;"app | music | better | awesome | spotify"
3918;"good app, juss needs a update to run smoothes";4;"female";"Perth, Australia";"2022-09-14";"positivo";"good app juss needs a update to run smoothes";4;"app | music | better | awesome | spotify"
3923;"Good App , but why we can't delete our massage in SoundCloud App ?!!!!!!!!";4;"female";"Perth, Australia";"2022-08-08";"positivo";"good app but why we can t delete our massage in soundcloud app";4;"app | music | better | awesome | spotify"
3931;"Its cool";4;"female";"Christchurch, New Zealand";"2022-06-07";"positivo";"its cool";4;"app | music | better | awesome | spotify"
3933;"this app is now my favorite app💗 I really love it 🤩";4;"female";"Wellington, New Zealand";"2022-07-21";"positivo";"this app is now my favorite app i really love it";4;"app | music | better | awesome | spotify"
3941;"It's an overall great app but explain why when I have full bars it says no internet and have to restart my phone in order to get it working? Alright now it won't even open and I'm getting not responding messages when the app is CLOSED. Triple explain why it won't let me log in if my device is on for a long period of time. And why it'll log me out at random too. HOW ABOUT YOU EXPLAIN THAT.";4;"female";"Melbourne, Australia";"2022-06-14";"positivo";"it s an overall great app but explain why when i have full bars it says no internet and have to restart my phone in order to get it working alright now it won t even open and i m getting not responding messages when the app is closed triple explain why it won t let me log in if my device is on for a long period of time and why it ll log me out at random too how about you explain that";4;"app | music | better | awesome | spotify"
3945;"I love it but wish soundcloud sould do vedios";4;"female";"Port Moresby, Papua New Guinea";"2022-09-12";"positivo";"i love it but wish soundcloud sould do vedios";5;"love | app | music | much | amazing"
3951;".nice";4;"female";"Brisbane, Australia";"2022-05-22";"positivo";"nice";6;"nice | app | music | no | songs"
3962;"👍🏿👍🏿👍🏿";4;"female";"Gold Coast, Australia";"2022-02-14";"positivo";"";4;"app | music | better | awesome | spotify"
3968;"This app is really good for finding songs and listening on or offline if you were to have the premium version. The one thing, though, is that you aren't able to record songs through internal audio from this app. I really beg for you guys to bring back the internal audio recording because I want to be able to listen to my favorite song while offline since I don't really have the premium version :( . This is the only app that has the song I like. Please bring it back in the next update.";4;"female";"Sydney, Australia";"2022-03-17";"positivo";"this app is really good for finding songs and listening on or offline if you were to have the premium version the one thing though is that you aren t able to record songs through internal audio from this app i really beg for you guys to bring back the internal audio recording because i want to be able to listen to my favorite song while offline since i don t really have the premium version this is the only app that has the song i like please bring it back in the next update";4;"app | music | better | awesome | spotify"
3969;"nice app";4;"female";"Adelaide, Australia";"2022-02-22";"positivo";"nice app";6;"nice | app | music | no | songs"
3975;"better";4;"female";"Port Moresby, Papua New Guinea";"2022-10-04";"positivo";"better";4;"app | music | better | awesome | spotify"
3982;"👍";4;"female";"Brisbane, Australia";"2022-10-07";"positivo";"";4;"app | music | better | awesome | spotify"
3993;"It was the best online music app I'd ever downloaded .. however the problem is ...some of my favourite songs are not available in my country 😭.......i hate that and yeah... some songs cannot be found despite all that issues i still like this app 💌";4;"female";"Hobart, Australia";"2022-04-25";"positivo";"it was the best online music app i d ever downloaded however the problem is some of my favourite songs are not available in my country i hate that and yeah some songs cannot be found despite all that issues i still like this app";4;"app | music | better | awesome | spotify"
3996;"Very good for music";4;"female";"Perth, Australia";"2022-03-10";"positivo";"very good for music";0;"good | app | music | experience | really"
4001;"Love SoundCloud. I have Created Great Tracks on BandLab then upload them to Sound Cloud. 💪😎. Super Crispy & Clear. Just enjoying the Experience.";4;"female";"Canberra, Australia";"2022-04-15";"positivo";"love soundcloud i have created great tracks on bandlab then upload them to sound cloud super crispy clear just enjoying the experience";4;"app | music | better | awesome | spotify"
4025;"tracks are easy to find";4;"female";"Auckland, New Zealand";"2022-05-07";"positivo";"tracks are easy to find";4;"app | music | better | awesome | spotify"
4029;"nice";4;"female";"Sydney, Australia";"2022-03-14";"positivo";"nice";6;"nice | app | music | no | songs"
4030;"It's a really great app but it glitches a lot when I exit the app";4;"female";"Córdoba, Argentina";"2022-02-10";"positivo";"it s a really great app but it glitches a lot when i exit the app";2;"great | app | music | back | really"
4041;"Please add the ability to sort tracks, it is very much lacking";4;"female";"Brisbane, Australia";"2022-03-02";"positivo";"please add the ability to sort tracks it is very much lacking";4;"app | music | better | awesome | spotify"
4051;"A loop button would be nice";4;"female";"Hobart, Australia";"2022-04-26";"positivo";"a loop button would be nice";6;"nice | app | music | no | songs"
4052;"I can't stop autoplay!";4;"female";"Christchurch, New Zealand";"2022-03-20";"positivo";"i can t stop autoplay";4;"app | music | better | awesome | spotify"
4067;"Hello again, Im kinda missing some parts here. Why does my playlist suddenly went missing? Like all of the songs I have saved just suddenly went Missing Even the artist i followed have their somg removed and I am very confused. What happened?";4;"female";"Gold Coast, Australia";"2022-09-18";"positivo";"hello again im kinda missing some parts here why does my playlist suddenly went missing like all of the songs i have saved just suddenly went missing even the artist i followed have their somg removed and i am very confused what happened";4;"app | music | better | awesome | spotify"
